class,image_path,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21
im_Superficial-Intermediate,/content/sipakmed/im_Superficial-Intermediate/im_Superficial-Intermediate/CROPPED/017_17.bmp,183.32338842975207,0.0180196078431372,0.0288364562330457,-917.9595345672363,6.254621598164536,20.06823088859311,184.0,139.2001859504132,0.0172865013774104,0.0357679010360787,328.4959518382723,6.395571089075908,23.040231342067745,139.0,72.62745867768595,0.0139787716739588,0.0214239010346785,5595.144119718548,6.293954837548131,22.1260867069432,67.0,124.32415289256198
im_Superficial-Intermediate,/content/sipakmed/im_Superficial-Intermediate/im_Superficial-Intermediate/CROPPED/043_06.bmp,186.0476859504132,0.0234538972613839,0.0792131225753361,16033.62713035025,6.776816083473573,39.81973324624613,179.0,148.7524173553719,0.0256930805380003,0.1041188555515609,51447.04343999198,7.181726953436552,41.34297141569177,141.0,185.2300826446281,0.0219223788689029,0.0831433507558486,-30604.651207275096,6.762042070815732,34.66942999280818,198.0,163.9112396694215
im_Superficial-Intermediate,/content/sipakmed/im_Superficial-Intermediate/im_Superficial-Intermediate/CROPPED/111_04.bmp,178.06863636363636,0.022947334305623,0.0455036658872857,-7910.307875647813,6.431249295972559,24.56075196290763,178.0,155.59677685950413,0.0224051207259763,0.0686755406908382,-12701.512255305,6.3507736783088085,26.8120604328106,153.0,157.22144628099173,0.0196995624696159,0.070151929898413,-8125.133170729809,6.63674071846429,30.09538436192072,155.0,158.6442561983471
im_Superficial-Intermediate,/content/sipakmed/im_Superficial-Intermediate/im_Superficial-Intermediate/CROPPED/050_03.bmp,190.37923553719008,0.0298436233997731,0.0572154198132693,-4221.604000414187,6.234412494452277,20.254164010054208,189.0,156.14460743801652,0.0288363312267055,0.0500663858314341,-6384.263476807755,6.047528138675267,18.22650808447227,156.0,232.29708677685952,0.025276778479987,0.0247311733242417,-5571.572891568645,4.327502761822546,10.288442514023714,234.0,182.8176239669421
im_Superficial-Intermediate,/content/sipakmed/im_Superficial-Intermediate/im_Superficial-Intermediate/CROPPED/017_09.bmp,184.51123966942149,0.0247034516285853,0.0271222285089571,-1554.618361103899,6.038195428595978,17.793677425267084,182.0,143.53148760330578,0.0223469453897261,0.0363594467622302,349.461040492765,6.225262589272798,22.069638100481168,139.0,75.66264462809917,0.0185747852860152,0.0175019757829417,1176.6970797834592,5.739558285929784,14.429489190376712,72.0,127.90603305785125
im_Superficial-Intermediate,/content/sipakmed/im_Superficial-Intermediate/im_Superficial-Intermediate/CROPPED/117_04.bmp,131.8511570247934,0.0209108734402852,0.0738824455030763,35377.5157622536,7.024713104718511,38.40989663899551,122.0,115.9922520661157,0.0217280829687246,0.119361290174337,29580.646161676093,6.940034254697071,36.79803379542432,107.0,152.5469214876033,0.0190528277426673,0.1523525670991195,-32272.756080989315,6.788983354360328,38.65922784468871,165.0,128.73256198347107
im_Superficial-Intermediate,/content/sipakmed/im_Superficial-Intermediate/im_Superficial-Intermediate/CROPPED/066_07.bmp,226.9475,0.020669745584184,0.0542690073147603,-18172.54948274301,5.309199204806615,26.87206666578691,229.0,190.92609504132236,0.0286355533949116,0.0805254617945904,8571.706005958198,6.743556234719862,41.341307820047966,182.0,229.3335743801653,0.024604602171447,0.0431570894723581,-11697.447684044506,4.782822318011724,12.85632898906395,231.0,206.51630165289257
im_Superficial-Intermediate,/content/sipakmed/im_Superficial-Intermediate/im_Superficial-Intermediate/CROPPED/066_02.bmp,230.426652892562,0.0162544158159131,0.0637643334048981,-23725.026078697578,5.223981313965506,24.679109016630303,231.0,196.7540702479339,0.0246703937773456,0.0947968361687892,-13337.551424930278,6.775301948832324,34.588752679816,190.0,192.25880165289257,0.019006643979906,0.0621816393386536,-27985.87393827074,6.729769723113473,33.67672831450411,189.0,199.24787190082645
im_Superficial-Intermediate,/content/sipakmed/im_Superficial-Intermediate/im_Superficial-Intermediate/CROPPED/097_02.bmp,151.21006198347106,0.0196802787230594,0.0703852590536215,18615.483724278016,7.058093118172431,40.99771896996173,141.0,132.34270661157024,0.0216446280991735,0.129368455579062,13998.838872250186,6.980973351970788,39.724759782554905,122.0,174.13196280991735,0.017524064171123,0.0836790755112772,-47300.10563293842,6.47614731600077,35.146874281608774,191.0,146.98904958677687
im_Superficial-Intermediate,/content/sipakmed/im_Superficial-Intermediate/im_Superficial-Intermediate/CROPPED/104_02.bmp,185.89477272727277,0.0228039215686274,0.0408770950578027,-6312.367693131284,6.315477955186046,22.40931176246507,184.0,160.26237603305785,0.0240371090584994,0.084526504161214,-17580.041176674415,6.403534709040569,27.141444281029926,158.0,158.60285123966943,0.01969713174526,0.07796221425349,21.760850074668685,6.637000476310833,30.54683168112087,152.0,162.69010330578513
